,text,scores,boxes,centroid,source
89,china,0.9976491928100586,"[[472.0, 498.0], [500.0, 498.0], [500.0, 512.0], [472.0, 512.0]]",POINT (486 505),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
90,like earth coffee,0.9781558513641357,"[[548.0, 490.0], [688.0, 490.0], [688.0, 512.0], [548.0, 512.0]]",POINT (618 501),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
91,kantor walikota,0.9910644292831421,"[[1375.0, 492.0], [1512.0, 499.0], [1511.0, 527.0], [1374.0, 520.0]]",POINT (1443 509.5),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
92,o a,0.8980777859687805,"[[1146.0, 550.0], [1178.0, 550.0], [1178.0, 574.0], [1146.0, 574.0]]",POINT (1162 562),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
93,basaue,0.544295072555542,"[[220.0, 564.0], [318.0, 564.0], [318.0, 602.0], [220.0, 602.0]]",POINT (269 583),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
94,ajid-2,0.9604368805885315,"[[1172.0, 556.0], [1208.0, 556.0], [1208.0, 570.0], [1172.0, 570.0]]",POINT (1190 563),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
95,balai kota sukabumi,0.9665859937667847,"[[1422.0, 570.0], [1584.0, 570.0], [1584.0, 596.0], [1422.0, 596.0]]",POINT (1503 583),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
96,cabang sukabumi,0.9748169183731079,"[[890.0, 588.0], [1006.0, 588.0], [1006.0, 608.0], [890.0, 608.0]]",POINT (948 598),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
97,kota sukabumi,0.960706353187561,"[[1769.0, 697.0], [1876.0, 702.0], [1875.0, 722.0], [1768.0, 717.0]]",POINT (1822 709.5),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
98,ep,0.9640253782272339,"[[1504.0, 755.0], [1520.0, 755.0], [1520.0, 781.0], [1504.0, 781.0]]",POINT (1512 768),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
